trip_id,arrival_time,departure_time,stop_id,stop_sequence
20044111,6:40:00,6:40:00,0211DRV,9
20044111,6:45:00,6:45:00,0201ALS,10
20044111,6:50:00,6:50:00,0211ALS,11
20044111,6:55:00,6:55:00,0201HML,12
20044111,7:00:00,7:00:00,0211STD,13
20044111,7:05:00,7:05:00,0201RYS,14
20044111,7:10:00,7:10:00,0211RYS,15
20044111,7:15:00,7:15:00,0201SUP,16
20044111,7:20:00,7:20:00,0201GSP,17
20044111,7:25:00,7:25:00,0201BAS,18
20044111,7:30:00,7:30:00,0211BAS,19
20044111,7:35:00,7:35:00,0201CAR,20
20044111,7:40:00,7:40:00,0201LSM,21
20044111,7:45:00,7:45:00,0211CAR,22
20044111,7:50:00,7:50:00,0201JAC,23
20044111,7:55:00,7:55:00,0211JAC,24
20044111,8:00:00,8:00:00,0201SKL,25
20044111,8:05:00,8:05:00,0201KAR,26
20044111,8:10:00,8:10:00,0201WST,27
20044111,8:15:00,8:15:00,0201KNL,28
20044111,8:20:00,8:20:00,0213KHW,29
20044120,6:00:00,6:00:00,0213ZMD,1
20044120,6:05:00,6:05:00,0200GAK,2
20044120,6:10:00,6:10:00,0210EDE,3
20044120,6:15:00,6:15:00,0200CHF,4
20044120,6:20:00,6:20:00,0200CAT,5
20044120,6:25:00,6:25:00,0210GAS,6
20044120,6:30:00,6:30:00,0200MTM,7
20044120,6:35:00,6:35:00,0210MRM,8
20044120,6:40:00,6:40:00,0210RYS,9
20044120,6:45:00,6:45:00,0210STD,10
20044120,6:50:00,6:50:00,0200STD,11
20044120,6:55:00,6:55:00,0200HML,12
20044120,7:00:00,7:00:00,0210ALS,13
20044120,7:05:00,7:05:00,0210DRV,14
20044120,7:10:00,7:10:00,0210KCA,15
20044120,7:15:00,7:15:00,0210SUR,16
20044120,7:20:00,7:20:00,0210MTG,17
20044120,7:25:00,7:25:00,0210PNG,18
20044120,7:30:00,7:30:00,0200GNK,19
20044120,7:35:00,7:35:00,0210NGR,20
20044120,7:40:00,7:40:00,0212PPS,21
20044121,6:00:00,6:00:00,0212PPS,1
20044121,6:05:00,6:05:00,0211KNJ,2
