type_id,starttime,stoptime,tripduration,start_lat,start_lon,end_lat,end_lon
237,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.16361,36.957286,-1.149239,36.961993
2,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.284074,36.729192,-1.283395,36.726863
110ATH,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.359653,36.907814,-1.35447,36.906289
118,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.265185,36.811861,-1.268386,36.812178
106,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.207176111,36.78586767,-1.203525,36.785397
126,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.390667,36.766832,-1.391825,36.76594
11_2,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.318073,36.846677,-1.319831,36.848046
49,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.223037,36.91183,-1.227542,36.917967
11,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.316523,36.838543,-1.317606,36.83873
24C,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.30788,36.734194,-1.308462,36.732408
30,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.26357,36.72825,-1.26361,36.72705
1961Kd,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.29775,36.89367,-1.298668,36.892513
110ATH,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.384911,36.933262,-1.39112,36.937976
26,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.270318,36.880947,-1.266875,36.880084
5,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.284745932,36.8206358,-1.284649372,36.82081819
110,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.337222,36.894932,-1.344124,36.902578
11_2,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.298596859,36.82368815,-1.29149437,36.8230176
17A,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.2778,36.8925,-1.27814,36.89111
17B,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.218747,36.90285,-1.223906,36.908177
125,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.372141,36.76862,-1.381962,36.770612
107,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.20934,36.78847,-1.21102,36.79019
19C2,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.26644,36.9161,-1.270785391,36.91311836
103,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.26039,36.71069,-1.25862,36.70304
17Aky,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.27804,36.89521,-1.2778,36.8925
44G,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.256648,36.855305,-1.259936,36.844346
36,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.29399,36.88053,-1.29428,36.87888
1961Kd,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.271173954,36.9192338,-1.270948648,36.91940546
114W,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.242892,36.677207,-1.247038,36.681033
41,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.250724792,36.90487862,-1.250111,36.905767
38/39,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.298008,36.869484,-1.29657,36.86223
49,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.251848,36.860455,-1.256648,36.855305
44G,2017-01-03 07:45:00,2017-01-03 07:50:00,300,-1.199799,36.900485,-1.192145,36.898695
111,2017-01-03 07:46:00,2017-01-03 07:48:00,120,-1.353556,36.657924,-1.354165,36.657739
135,2017-01-03 07:46:00,2017-01-03 07:48:00,120,-1.27049,36.806942,-1.274128,36.811825
3738,2017-01-03 07:46:00,2017-01-03 07:48:00,120,-1.258177,36.893397,-1.260172,36.890758
116,2017-01-03 07:46:00,2017-01-03 07:48:00,120,-1.124978,36.677156,-1.124471,36.679689
135,2017-01-03 07:48:00,2017-01-03 07:50:00,120,-1.274128,36.811825,-1.285635,36.830776
3738,2017-01-03 07:48:00,2017-01-03 07:50:00,120,-1.260172,36.890758,-1.261084,36.888065
116,2017-01-03 07:48:00,2017-01-03 07:50:00,120,-1.124471,36.679689,-1.132722,36.69801
111,2017-01-03 07:48:00,2017-01-03 07:50:00,120,-1.354165,36.657739,-1.356178,36.657212
116,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.198614,36.784122,-1.197213,36.782874
33DP,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.29304,36.84563,-1.29239,36.84268
36,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.261081,36.887801,-1.260132,36.890638
11,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.299476624,36.82536721,-1.298596859,36.82368815
107,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.21102,36.79019,-1.21641,36.79927
11,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.317606,36.83873,-1.318342,36.83873
19Cdc,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.294254,36.851282,-1.293841,36.849383
115,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.249498,36.68443,-1.251837,36.687823
106,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.203525,36.785397,-1.198614,36.784122
17A,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.27814,36.89111,-1.2785,36.88914
102,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.283395,36.726863,-1.282482147,36.72394753
23KS,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.289257,36.861512,-1.289988,36.859837
33DP,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.319271326,36.89712167,-1.321009398,36.89818382
23KS,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.269612,36.880758,-1.269417,36.881248
35/60,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.289596,36.885163,-1.29726,36.88532
2,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.283395,36.726863,-1.282224,36.723135
115,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.260815263,36.71673238,-1.258224249,36.70190513
26,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.266875,36.880084,-1.266028,36.879881
125,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.381962,36.770612,-1.390667,36.766832
4W,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.295017,36.748142,-1.29480958,36.74751878
145,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.266179,36.835124,-1.269278,36.832431
100,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.27024,36.8327,-1.277,36.83091
36,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.29428,36.87888,-1.29581,36.87668
38/39,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.29657,36.86223,-1.29618,36.86031
100,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.17284,36.83002,-1.17171,36.82808
125,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.328715,36.788743,-1.324143,36.797008
237,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.221498,36.88989,-1.234187,36.874215
102,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.285904,36.73926,-1.286467,36.740158
126RK,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.39569,36.735542,-1.39586,36.737801
114W,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.247038,36.681033,-1.249498,36.68443
237,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.149239,36.961993,-1.142084,36.966911
114W,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.242925,36.677091,-1.233226,36.66923
126,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.39586,36.737801,-1.395977,36.739571
120,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.140974,36.805712,-1.128688,36.811402
106,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.21873,36.80177,-1.22091,36.80144
107,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.20676,36.78382,-1.2065,36.78171
26,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.291666031,36.87191963,-1.292329,36.869708
26S,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.258342266,36.87887192,-1.257612705,36.87887192
34J,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.338612,36.910735,-1.336124,36.916187
11_2,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.319831,36.848046,-1.320817,36.849409
4W,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.299031,36.762577,-1.299571,36.76512
38/39,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.250485,36.940001,-1.250724,36.952748
11_2,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.29149437,36.8230176,-1.287224293,36.82890773
19Cdc,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.27138,36.90951,-1.27089,36.90911
34J,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.294702291,36.85320854,-1.294254,36.851282
1961K,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.299397,36.890125,-1.30213,36.88775
15,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.305466176,36.82514191,-1.298446655,36.82359695
34B,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.29304,36.84563,-1.29239,36.84268
17A,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.26892,36.91361,-1.26644,36.916
110ATH,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.35447,36.906289,-1.346604,36.902371
18C,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.256158,36.90881,-1.256804,36.907785
111,2017-01-03 07:50:00,2017-01-03 07:54:00,240,-1.356178,36.657212,-1.360429,36.656037
12D,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.312743,36.824658,-1.312983,36.825767
44G,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.192145,36.898695,-1.190279,36.896829
119,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.22883,36.73175,-1.22791,36.73042
105,2017-01-03 07:50:00,2017-01-03 07:55:00,300,-1.26226,36.72651,-1.26075,36.71692
